Date,Price,Open,High,Low,Vol.,Change %
2018-06-19,32900,33500,33500,32800,232.69K,-0.60%
2018-06-20,33300,33000,33300,32700,212.87K,1.22%
2018-06-21,33300,33350,33400,32900,92.74K,0.00%
2018-06-22,33100,33300,33400,32750,52.35K,-0.60%
2018-06-25,34200,33100,34500,33050,1.17M,3.32%
2018-06-26,33600,34200,34500,33600,21.72K,-1.75%
2018-06-27,34400,34000,34400,33900,45.17K,2.38%
2018-06-28,33800,34400,34500,33800,210.62K,-1.74%
2018-06-29,33400,32700,33800,32700,20.54K,-1.18%
2018-07-02,33300,33500,33500,32800,93.42K,-0.30%
2018-07-03,33000,33500,33500,32800,117.19K,-0.90%
2018-07-04,33300,33400,33400,32900,107.32K,0.91%
2018-07-05,33000,33200,33300,32700,61.37K,-0.90%
2018-07-06,33000,32600,33400,32500,56.89K,0.00%
2018-07-09,33300,33650,33850,32600,40.97K,0.91%
2018-07-10,33350,32800,33500,32800,20.76K,0.15%
2018-07-11,33300,33000,34500,33000,231.87K,-0.15%
2018-07-12,33250,32500,33300,32500,271.55K,-0.15%
2018-07-13,33000,32500,33300,32500,31.23K,-0.75%
2018-07-16,33000,33200,33450,33000,52.57K,0.00%
2018-07-17,33250,33350,33500,33000,76.72K,0.76%
2018-07-18,33500,33600,33650,33000,58.66K,0.75%
2018-07-19,33500,33600,33600,33100,59.22K,0.00%
2018-07-20,33000,33450,33500,33000,181.95K,-1.49%
2018-07-23,33100,33000,33350,32900,109.33K,0.30%
2018-07-24,33800,33100,33900,33000,91.73K,2.11%
2018-07-25,33800,33800,34000,33600,58.25K,0.00%
2018-07-26,33000,33800,35050,33000,120.54K,-2.37%
2018-07-27,34000,34400,34400,33200,71.54K,3.03%
2018-07-30,32972,32400,33258,32400,44.09K,-3.02%
2018-07-31,32257,33115,33258,32257,76.48K,-2.17%
2018-08-01,32257,32400,33115,32209,31.13K,0.00%
2018-08-02,32448,32591,32591,32066,77.29K,0.59%
2018-08-03,32448,32019,32829,32019,221.84K,0.00%
2018-08-06,32591,32876,32876,32400,47.82K,0.44%
