Date,Price,Open,High,Low,Vol.,Change %
2019-02-15,59300,60000,60000,59200,1.25M,-1.50%
2019-02-18,60000,59500,60000,59500,1.03M,1.18%
2019-02-19,59000,60000,60200,59000,1.30M,-1.67%
2019-02-20,59100,59300,59600,58900,818.48K,0.17%
2019-02-21,60100,59500,60100,59100,2.04M,1.69%
2019-02-22,62000,60200,62400,60000,2.50M,3.16%
2019-02-25,63400,62500,63900,62300,2.08M,2.26%
2019-02-26,63000,63400,63500,61900,1.98M,-0.63%
2019-02-27,61900,62800,63000,61600,1.15M,-1.75%
2019-02-28,60500,61900,62500,60500,2.03M,-2.26%
2019-03-01,62200,61000,62200,60800,713.50K,2.81%
2019-03-04,62800,62200,63000,62200,1.35M,0.96%
2019-03-05,63000,62800,63800,62500,1.58M,0.32%
2019-03-06,62700,63100,63300,61900,1.08M,-0.48%
2019-03-07,63100,62700,63800,62600,1.90M,0.64%
2019-03-08,62800,62400,63000,62100,997.37K,-0.48%
2019-03-11,62600,62400,62700,61900,1.02M,-0.32%
2019-03-12,64800,63000,64800,62700,2.19M,3.51%
2019-03-13,65200,65000,65200,64500,1.68M,0.62%
2019-03-14,67000,65200,67000,64500,2.27M,2.76%
2019-03-15,66000,67200,67200,66000,2.62M,-1.49%
2019-03-18,67600,66500,67800,66500,1.94M,2.42%
2019-03-19,66800,67600,67600,66700,1.39M,-1.18%
2019-03-20,66700,66700,67200,66200,2.44M,-0.15%
2019-03-21,66600,66900,67900,66500,1.53M,-0.15%
2019-03-22,66900,66800,67000,66500,1.38M,0.45%
2019-03-25,65500,65000,66000,64000,1.64M,-2.09%
2019-03-26,65500,66100,66500,65500,1.13M,0.00%
2019-03-27,65500,65900,65900,64700,538.18K,0.00%
2019-03-28,66700,65700,66700,65400,742.47K,1.83%
2019-03-29,67300,67000,67500,66800,678.05K,0.90%
2019-04-01,67800,67900,67900,67600,684.06K,0.74%
2019-04-02,67500,68000,68500,67500,556.97K,-0.44%
2019-04-03,67200,67500,67600,66500,445.65K,-0.44%
2019-04-04,67700,67200,67900,66800,948.96K,0.74%
2019-04-05,68100,67800,68200,67800,477.53K,0.59%
2019-04-08,69700,68100,69700,67900,1.12M,2.35%
2019-04-09,69800,69700,70000,69400,759.18K,0.14%
2019-04-10,68900,69500,69500,68800,719.03K,-1.29%
2019-04-11,68500,69000,69000,67700,405.09K,-0.58%
2019-04-12,68000,68600,68600,67600,355.40K,-0.73%
2019-04-16,67400,68000,68000,66400,404.64K,-0.88%
2019-04-17,68000,67900,68200,67000,516.71K,0.89%
2019-04-18,67900,67500,68700,67500,554.82K,-0.15%
2019-04-19,68000,67900,68500,67900,232.55K,0.15%
2019-04-22,67900,67100,68100,67000,313.21K,-0.15%
2019-04-23,67500,68000,68000,66100,1.26M,-0.59%
2019-04-24,68500,67500,69200,67500,684.54K,1.48%
2019-04-25,67700,68500,68500,67700,348.70K,-1.17%
2019-04-26,67900,67800,68300,67500,277.26K,0.30%
2019-05-02,66900,67600,67900,66400,628.43K,-1.47%
2019-05-03,66700,66800,67200,66100,789.78K,-0.30%
2019-05-06,66300,66200,66800,65900,364.56K,-0.60%
2019-05-07,65600,66300,67000,64800,1.10M,-1.06%
2019-05-08,65100,64600,65600,64600,947.12K,-0.76%
2019-05-09,65500,65400,66000,65100,659.18K,0.61%
2019-05-10,65600,65500,66100,65200,554.37K,0.15%
2019-05-13,65900,65800,66100,65600,475.42K,0.46%
2019-05-14,66600,65400,66600,65400,628.48K,1.06%
2019-05-15,66800,66700,67400,66500,734.23K,0.30%
2019-05-16,66800,66800,67400,66800,412.21K,0.00%
2019-05-17,66800,66800,67000,66600,449.04K,0.00%
2019-05-20,67800,66800,68100,66700,607.06K,1.50%
2019-05-21,67700,67900,68400,67700,473.17K,-0.15%
2019-05-22,67200,67500,68600,67000,662.70K,-0.74%
2019-05-23,67600,67400,68000,67100,378.44K,0.60%
2019-05-24,66500,67300,68000,66100,931.25K,-1.63%
2019-05-27,67400,67000,67800,66500,341.32K,1.35%
2019-05-28,67400,67000,68600,66800,664.40K,0.00%
2019-05-29,67500,67600,68100,67200,313.51K,0.15%
2019-05-30,67700,67500,68100,67300,320.90K,0.30%
2019-05-31,67200,67500,68000,66800,712.09K,-0.74%
2019-06-03,66500,66500,67200,64000,593.66K,-1.04%
2019-06-04,67200,66000,67500,65900,387.78K,1.05%
2019-06-05,66700,67200,67500,66700,269.12K,-0.74%
2019-06-06,65900,66700,66700,65000,394.55K,-1.20%
2019-06-07,65600,66500,67000,65200,490.88K,-0.46%
2019-06-10,66700,66800,67500,66000,585.46K,1.68%
2019-06-11,67400,66500,67500,66500,280.10K,1.05%
2019-06-12,67000,67400,67500,66900,212.91K,-0.59%
2019-06-13,67300,67000,67500,66400,546.96K,0.45%
2019-06-14,69200,67500,69600,67300,2.48M,2.82%
2019-06-17,69200,69200,70300,69000,1.02M,0.00%
2019-06-18,70300,69000,70500,68200,958.12K,1.59%
2019-06-19,69800,70400,70700,69400,767.31K,-0.71%
2019-06-20,71500,69700,71500,69600,934.29K,2.44%
2019-06-21,71000,71500,72000,71000,1.79M,-0.70%
2019-06-24,73000,71500,73800,71000,1.41M,2.82%
2019-06-25,72400,72800,72800,72000,390.84K,-0.82%
2019-06-26,70500,72400,72500,70500,918.85K,-2.62%
2019-06-27,69500,71000,71000,69400,1.19M,-1.42%
2019-06-28,70500,69600,72000,68400,830.14K,1.44%
2019-07-01,71300,71000,71900,70900,565.64K,1.13%
2019-07-02,70500,71500,71500,70300,363.02K,-1.12%
2019-07-03,69600,70500,71000,69600,796.72K,-1.28%
2019-07-04,72500,70000,72500,69700,1.13M,4.17%
2019-07-05,72600,72500,72600,72000,425.62K,0.14%
2019-07-08,71300,72000,72300,71000,723.30K,-1.79%
2019-07-09,71900,71500,71900,70600,668.55K,0.84%
2019-07-10,72500,72500,72700,71900,639.16K,0.83%
2019-07-11,74000,72600,74600,72600,1.29M,2.07%
2019-07-12,73700,74000,74500,73600,926.21K,-0.41%
2019-07-15,75000,73700,75000,73700,1.09M,1.76%
2019-07-16,77200,75500,78000,75400,1.90M,2.93%
2019-07-17,76200,76500,77100,75800,802.35K,-1.30%
2019-07-18,76400,75900,77200,75600,858.68K,0.26%
2019-07-19,79000,76400,79800,76400,1.32M,3.40%
2019-07-22,79000,79000,79500,78700,930.52K,0.00%
2019-07-23,78900,78900,79300,78500,626.06K,-0.13%
2019-07-24,76900,79500,79500,76500,1.38M,-2.53%
2019-07-25,77700,76900,77800,76700,457.36K,1.04%
2019-07-26,78500,77700,79700,77500,942.26K,1.03%
2019-07-29,81000,78500,81000,78300,986.83K,3.18%
2019-07-30,80600,82000,82500,80600,1.13M,-0.49%
2019-07-31,80200,80000,80500,79600,512.82K,-0.50%
2019-08-01,80500,80200,80500,79700,538.85K,0.37%
2019-08-02,79100,79700,80500,79100,680.00K,-1.74%
2019-08-05,77400,79200,79700,77100,857.57K,-2.15%
2019-08-06,76300,76400,76900,75800,1.17M,-1.42%
2019-08-07,78400,76300,78400,76300,567.83K,2.75%
2019-08-08,78500,78500,79800,78100,612.53K,0.13%
2019-08-09,78500,78700,79400,78400,638.63K,0.00%
2019-08-12,77700,78500,78800,77200,475.00K,-1.02%
2019-08-13,76300,77200,77500,75900,809.30K,-1.80%
2019-08-14,76300,78000,78000,76300,354.75K,0.00%
2019-08-15,79000,74600,79000,74600,510.33K,3.54%
2019-08-16,77900,77800,78600,77800,551.18K,-1.39%
2019-08-19,76800,77900,78500,76700,692.74K,-1.41%
2019-08-20,76900,77800,77800,76700,453.76K,0.13%
2019-08-21,80000,76900,80300,76700,1.93M,4.03%
2019-08-22,80000,80200,80400,79600,762.09K,0.00%
2019-08-23,79200,80000,80200,79200,451.50K,-1.00%
2019-08-26,77800,78200,78600,77500,672.22K,-1.77%
2019-08-27,76500,78200,78800,76000,1.12M,-1.67%
2019-08-28,77000,76800,77300,76800,588.81K,0.65%
2019-08-29,76800,76900,77400,76500,422.24K,-0.26%
2019-08-30,77700,77000,77700,77000,280.13K,1.17%
2019-09-03,77800,77800,77900,76700,580.83K,0.13%
2019-09-04,77300,77500,77500,76900,527.77K,-0.64%
2019-09-05,77600,77200,78800,77200,408.90K,0.39%
2019-09-06,77300,78000,78000,77000,287.99K,-0.39%
2019-09-09,77200,77300,77400,77000,236.44K,-0.13%
