Date,Price,Open,High,Low,Vol.
2019-10-17,989.82,995.04,995.81,989.82,191.55K
2019-10-18,989.20,992.00,993.03,988.41,174.42K
2019-10-21,983.56,988.18,988.82,983.56,200.33K
2019-10-22,987.19,983.52,987.59,983.52,231.65K
2019-10-23,987.79,987.04,989.61,985.52,179.02K
2019-10-24,993.60,988.85,993.60,987.65,160.03K
2019-10-25,996.57,993.91,996.67,992.91,173.49K
2019-10-28,996.48,998.27,999.94,996.48,183.76K
2019-10-29,995.87,997.77,999.88,995.87,249.48K
2019-10-30,1000.89,996.83,1003.40,994.86,181.19K
2019-10-31,998.82,1000.89,1004.40,998.58,218.98K
2019-11-01,1015.59,998.82,1015.88,998.82,241.34K
2019-11-04,1022.43,1019.00,1023.92,1015.86,232.79K
2019-11-05,1024.34,1022.77,1026.53,1021.63,199.37K
2019-11-06,1024.91,1023.43,1028.97,1023.42,225.00K
2019-11-07,1024.03,1023.49,1028.45,1022.61,193.39K
2019-11-08,1022.49,1026.98,1027.39,1021.11,181.37K
2019-11-11,1016.75,1023.32,1024.77,1016.35,210.43K
2019-11-12,1018.33,1016.97,1021.84,1015.97,223.16K
2019-11-13,1012.77,1019.07,1020.09,1010.80,286.97K
2019-11-14,1012.30,1013.85,1016.71,1010.60,209.40K
2019-11-15,1010.03,1012.93,1015.16,1005.10,212.33K
2019-11-18,1002.91,1010.03,1012.09,1002.63,184.31K
2019-11-19,1008.35,1002.89,1008.35,1001.35,232.36K
2019-11-20,1000.56,1009.21,1009.21,1000.56,210.31K
2019-11-21,987.89,999.37,999.63,987.89,215.01K
2019-11-22,977.78,992.73,993.70,971.03,230.36K
2019-11-25,976.35,977.85,979.60,971.24,189.32K
2019-11-26,976.79,976.35,981.96,976.35,192.50K
2019-11-27,978.17,978.98,982.76,978.17,197.96K
2019-11-28,970.39,977.66,979.17,967.68,191.26K
2019-11-29,970.75,971.10,972.89,968.03,167.27K
2019-12-02,959.31,971.42,972.91,958.30,211.00K
2019-12-03,953.43,957.40,960.82,950.96,264.94K
2019-12-04,965.90,952.51,965.90,950.13,210.10K
2019-12-05,963.27,969.00,969.53,962.16,194.54K
2019-12-06,963.56,962.38,965.41,960.99,171.82K
2019-12-09,966.06,963.91,967.57,962.59,273.26K
2019-12-10,960.30,965.92,966.58,955.14,242.73K
2019-12-11,961.78,960.59,961.78,954.56,216.48K
2019-12-12,968.17,963.39,968.39,962.72,218.75K
2019-12-13,966.18,969.43,971.84,965.93,219.16K
2019-12-16,961.47,966.00,966.00,960.39,278.44K
2019-12-17,954.03,962.49,962.79,954.03,280.85K
2019-12-18,951.13,951.52,954.18,949.86,323.41K
2019-12-19,952.26,950.61,955.85,946.74,222.47K
2019-12-20,956.41,953.55,957.52,952.71,243.33K
2019-12-23,959.43,959.55,960.71,958.07,241.52K
2019-12-24,958.88,959.43,959.43,953.29,229.67K
2019-12-25,960.92,958.18,962.83,957.50,238.32K
2019-12-26,958.59,960.67,962.11,957.43,265.94K
2019-12-27,963.51,957.70,963.51,954.19,180.52K
2019-12-30,965.03,962.89,967.52,962.47,177.74K
2019-12-31,960.99,965.71,965.71,958.22,185.24K
2020-01-02,966.67,960.26,966.67,959.67,200.60K
2020-01-03,965.14,968.72,970.88,965.14,174.13K
2020-01-06,955.79,962.79,963.20,955.59,187.20K
2020-01-07,958.88,955.79,959.46,953.19,181.63K
2020-01-08,948.98,954.13,955.84,945.28,319.17K
2020-01-09,960.15,953.86,960.73,952.16,166.15K
2020-01-10,968.54,961.17,969.71,961.17,222.16K
2020-01-13,965.84,966.89,968.63,964.79,147.15K
2020-01-14,967.00,966.26,968.85,965.76,190.35K
2020-01-15,967.56,967.69,967.69,964.84,150.04K
2020-01-16,974.31,967.20,974.70,967.17,201.25K
2020-01-17,978.96,976.28,980.02,973.79,164.14K
2020-01-20,978.63,978.23,979.85,975.93,148.80K
2020-01-21,986.37,978.82,986.37,978.82,157.67K
2020-01-22,991.46,986.52,991.46,983.92,152.35K
2020-01-30,959.58,975.15,977.72,954.00,198.51K
2020-01-31,936.62,959.58,960.96,936.62,253.95K
2020-02-03,928.14,916.60,930.37,891.85,275.52K
2020-02-04,929.09,929.42,934.91,919.33,197.69K
2020-02-05,925.91,934.75,936.33,921.89,197.38K
2020-02-06,938.54,926.66,938.54,925.21,223.67K
2020-02-07,940.75,938.61,943.48,935.94,194.17K
2020-02-10,930.73,934.38,935.87,926.61,153.97K
2020-02-11,934.67,930.73,936.04,930.73,179.35K
2020-02-12,937.68,940.72,943.11,937.34,228.04K
2020-02-13,938.24,937.19,939.10,934.47,177.73K
2020-02-14,937.45,939.28,940.65,936.47,204.35K
2020-02-17,934.77,938.52,938.52,931.66,183.25K
2020-02-18,927.93,934.47,934.98,926.01,187.76K
2020-02-19,928.76,926.41,931.66,925.86,192.17K
2020-02-20,938.13,933.69,938.13,930.41,198.34K
2020-02-21,933.09,938.13,940.53,932.32,206.75K
2020-02-24,903.34,917.49,917.49,903.34,291.88K
2020-02-25,909.67,893.95,909.67,893.95,221.12K
2020-02-26,895.97,901.51,903.27,894.25,142.58K
2020-02-27,898.44,892.15,899.34,889.14,163.29K
2020-02-28,882.19,885.47,887.07,872.46,241.89K
